SDG_w_Momentum using torch built-in
nsamples=512, batch_size=64, epoch=100, lr=0.01
initial Wa=0.10000000149011612, Wb=1.7999999523162842
updates=1, Epoch=0, minibatch=0, loss=0.26047, Wa=0.1000, Wb=1.8000
updates=83, Epoch=10, minibatch=2, loss=0.00202, Wa=1.2510, Wb=1.2852
updates=84, Epoch=10, minibatch=3, loss=0.00260, Wa=1.2512, Wb=1.2833
updates=85, Epoch=10, minibatch=4, loss=0.00252, Wa=1.2512, Wb=1.2814
updates=86, Epoch=10, minibatch=5, loss=0.00226, Wa=1.2513, Wb=1.2795
updates=87, Epoch=10, minibatch=6, loss=0.00244, Wa=1.2513, Wb=1.2778
updates=88, Epoch=10, minibatch=7, loss=0.00216, Wa=1.2513, Wb=1.2761
updates=89, Epoch=11, minibatch=0, loss=0.00192, Wa=1.2514, Wb=1.2744
updates=90, Epoch=11, minibatch=1, loss=0.00213, Wa=1.2515, Wb=1.2729
updates=91, Epoch=11, minibatch=2, loss=0.00199, Wa=1.2516, Wb=1.2713
updates=92, Epoch=11, minibatch=3, loss=0.00206, Wa=1.2518, Wb=1.2699
updates=93, Epoch=11, minibatch=4, loss=0.00153, Wa=1.2521, Wb=1.2685
updates=94, Epoch=11, minibatch=5, loss=0.00146, Wa=1.2523, Wb=1.2671
updates=95, Epoch=11, minibatch=6, loss=0.00123, Wa=1.2524, Wb=1.2658
updates=96, Epoch=11, minibatch=7, loss=0.00181, Wa=1.2526, Wb=1.2646
updates=97, Epoch=12, minibatch=0, loss=0.00153, Wa=1.2530, Wb=1.2634
updates=98, Epoch=12, minibatch=1, loss=0.00153, Wa=1.2535, Wb=1.2622
updates=99, Epoch=12, minibatch=2, loss=0.00167, Wa=1.2540, Wb=1.2611
updates=100, Epoch=12, minibatch=3, loss=0.00144, Wa=1.2545, Wb=1.2601
updates=101, Epoch=12, minibatch=4, loss=0.00111, Wa=1.2551, Wb=1.2590
updates=102, Epoch=12, minibatch=5, loss=0.00122, Wa=1.2556, Wb=1.2580
updates=103, Epoch=12, minibatch=6, loss=0.00129, Wa=1.2560, Wb=1.2571
updates=104, Epoch=12, minibatch=7, loss=0.00121, Wa=1.2564, Wb=1.2562
updates=105, Epoch=13, minibatch=0, loss=0.00114, Wa=1.2568, Wb=1.2553
updates=106, Epoch=13, minibatch=1, loss=0.00134, Wa=1.2571, Wb=1.2545
updates=107, Epoch=13, minibatch=2, loss=0.00126, Wa=1.2575, Wb=1.2537
updates=108, Epoch=13, minibatch=3, loss=0.00140, Wa=1.2577, Wb=1.2529
updates=109, Epoch=13, minibatch=4, loss=0.00114, Wa=1.2579, Wb=1.2521
updates=110, Epoch=13, minibatch=5, loss=0.00092, Wa=1.2581, Wb=1.2513
updates=111, Epoch=13, minibatch=6, loss=0.00102, Wa=1.2584, Wb=1.2506
updates=112, Epoch=13, minibatch=7, loss=0.00085, Wa=1.2586, Wb=1.2499
updates=113, Epoch=14, minibatch=0, loss=0.00100, Wa=1.2588, Wb=1.2493
updates=114, Epoch=14, minibatch=1, loss=0.00105, Wa=1.2591, Wb=1.2487
updates=115, Epoch=14, minibatch=2, loss=0.00094, Wa=1.2593, Wb=1.2481
updates=116, Epoch=14, minibatch=3, loss=0.00104, Wa=1.2595, Wb=1.2475
updates=117, Epoch=14, minibatch=4, loss=0.00110, Wa=1.2596, Wb=1.2469
updates=118, Epoch=14, minibatch=5, loss=0.00099, Wa=1.2597, Wb=1.2464
updates=119, Epoch=14, minibatch=6, loss=0.00114, Wa=1.2598, Wb=1.2459
updates=120, Epoch=14, minibatch=7, loss=0.00089, Wa=1.2599, Wb=1.2454
updates=121, Epoch=15, minibatch=0, loss=0.00067, Wa=1.2600, Wb=1.2449
updates=122, Epoch=15, minibatch=1, loss=0.00108, Wa=1.2601, Wb=1.2444
updates=123, Epoch=15, minibatch=2, loss=0.00092, Wa=1.2601, Wb=1.2440
updates=124, Epoch=15, minibatch=3, loss=0.00105, Wa=1.2602, Wb=1.2435
updates=125, Epoch=15, minibatch=4, loss=0.00098, Wa=1.2602, Wb=1.2431
updates=126, Epoch=15, minibatch=5, loss=0.00098, Wa=1.2602, Wb=1.2427
updates=127, Epoch=15, minibatch=6, loss=0.00101, Wa=1.2602, Wb=1.2423
updates=128, Epoch=15, minibatch=7, loss=0.00094, Wa=1.2602, Wb=1.2419
updates=129, Epoch=16, minibatch=0, loss=0.00073, Wa=1.2602, Wb=1.2415
updates=130, Epoch=16, minibatch=1, loss=0.00096, Wa=1.2602, Wb=1.2412
updates=131, Epoch=16, minibatch=2, loss=0.00102, Wa=1.2602, Wb=1.2408
updates=132, Epoch=16, minibatch=3, loss=0.00079, Wa=1.2601, Wb=1.2405
updates=133, Epoch=16, minibatch=4, loss=0.00088, Wa=1.2601, Wb=1.2402
updates=134, Epoch=16, minibatch=5, loss=0.00092, Wa=1.2601, Wb=1.2399
updates=135, Epoch=16, minibatch=6, loss=0.00108, Wa=1.2601, Wb=1.2396
updates=136, Epoch=16, minibatch=7, loss=0.00095, Wa=1.2601, Wb=1.2394
updates=137, Epoch=17, minibatch=0, loss=0.00082, Wa=1.2601, Wb=1.2391
updates=138, Epoch=17, minibatch=1, loss=0.00099, Wa=1.2601, Wb=1.2388
updates=139, Epoch=17, minibatch=2, loss=0.00086, Wa=1.2601, Wb=1.2386
updates=140, Epoch=17, minibatch=3, loss=0.00085, Wa=1.2601, Wb=1.2384
updates=141, Epoch=17, minibatch=4, loss=0.00088, Wa=1.2601, Wb=1.2382
updates=142, Epoch=17, minibatch=5, loss=0.00084, Wa=1.2602, Wb=1.2379
updates=143, Epoch=17, minibatch=6, loss=0.00094, Wa=1.2602, Wb=1.2377
updates=144, Epoch=17, minibatch=7, loss=0.00104, Wa=1.2602, Wb=1.2375
updates=145, Epoch=18, minibatch=0, loss=0.00105, Wa=1.2602, Wb=1.2373
updates=146, Epoch=18, minibatch=1, loss=0.00083, Wa=1.2602, Wb=1.2371
updates=147, Epoch=18, minibatch=2, loss=0.00090, Wa=1.2601, Wb=1.2369
updates=148, Epoch=18, minibatch=3, loss=0.00081, Wa=1.2601, Wb=1.2367
updates=149, Epoch=18, minibatch=4, loss=0.00089, Wa=1.2601, Wb=1.2366
updates=150, Epoch=18, minibatch=5, loss=0.00086, Wa=1.2601, Wb=1.2364
updates=151, Epoch=18, minibatch=6, loss=0.00102, Wa=1.2601, Wb=1.2362
updates=152, Epoch=18, minibatch=7, loss=0.00078, Wa=1.2601, Wb=1.2361
updates=153, Epoch=19, minibatch=0, loss=0.00098, Wa=1.2602, Wb=1.2359
updates=154, Epoch=19, minibatch=1, loss=0.00093, Wa=1.2602, Wb=1.2358
updates=155, Epoch=19, minibatch=2, loss=0.00076, Wa=1.2602, Wb=1.2357
updates=156, Epoch=19, minibatch=3, loss=0.00088, Wa=1.2602, Wb=1.2355
updates=157, Epoch=19, minibatch=4, loss=0.00104, Wa=1.2602, Wb=1.2354
updates=158, Epoch=19, minibatch=5, loss=0.00071, Wa=1.2603, Wb=1.2353
updates=159, Epoch=19, minibatch=6, loss=0.00097, Wa=1.2603, Wb=1.2352
updates=160, Epoch=19, minibatch=7, loss=0.00081, Wa=1.2604, Wb=1.2351
updates=161, Epoch=20, minibatch=0, loss=0.00067, Wa=1.2604, Wb=1.2350
updates=162, Epoch=20, minibatch=1, loss=0.00085, Wa=1.2604, Wb=1.2349
updates=163, Epoch=20, minibatch=2, loss=0.00077, Wa=1.2605, Wb=1.2348
updates=164, Epoch=20, minibatch=3, loss=0.00106, Wa=1.2605, Wb=1.2347
updates=165, Epoch=20, minibatch=4, loss=0.00099, Wa=1.2605, Wb=1.2346
updates=166, Epoch=20, minibatch=5, loss=0.00087, Wa=1.2605, Wb=1.2345
updates=167, Epoch=20, minibatch=6, loss=0.00101, Wa=1.2605, Wb=1.2344
updates=168, Epoch=20, minibatch=7, loss=0.00086, Wa=1.2606, Wb=1.2344
updates=169, Epoch=21, minibatch=0, loss=0.00086, Wa=1.2606, Wb=1.2343
updates=170, Epoch=21, minibatch=1, loss=0.00085, Wa=1.2607, Wb=1.2342
updates=171, Epoch=21, minibatch=2, loss=0.00086, Wa=1.2608, Wb=1.2342
updates=172, Epoch=21, minibatch=3, loss=0.00093, Wa=1.2608, Wb=1.2341
updates=173, Epoch=21, minibatch=4, loss=0.00070, Wa=1.2608, Wb=1.2341
updates=174, Epoch=21, minibatch=5, loss=0.00089, Wa=1.2609, Wb=1.2340
updates=175, Epoch=21, minibatch=6, loss=0.00106, Wa=1.2609, Wb=1.2339
updates=176, Epoch=21, minibatch=7, loss=0.00090, Wa=1.2610, Wb=1.2339
updates=177, Epoch=22, minibatch=0, loss=0.00073, Wa=1.2610, Wb=1.2338
updates=178, Epoch=22, minibatch=1, loss=0.00081, Wa=1.2610, Wb=1.2338
updates=179, Epoch=22, minibatch=2, loss=0.00089, Wa=1.2610, Wb=1.2337
updates=180, Epoch=22, minibatch=3, loss=0.00092, Wa=1.2610, Wb=1.2336
updates=181, Epoch=22, minibatch=4, loss=0.00101, Wa=1.2609, Wb=1.2336
updates=182, Epoch=22, minibatch=5, loss=0.00083, Wa=1.2609, Wb=1.2335
updates=183, Epoch=22, minibatch=6, loss=0.00086, Wa=1.2609, Wb=1.2335
updates=184, Epoch=22, minibatch=7, loss=0.00100, Wa=1.2609, Wb=1.2334
updates=185, Epoch=23, minibatch=0, loss=0.00090, Wa=1.2609, Wb=1.2334
updates=186, Epoch=23, minibatch=1, loss=0.00088, Wa=1.2610, Wb=1.2334
updates=187, Epoch=23, minibatch=2, loss=0.00080, Wa=1.2610, Wb=1.2333
updates=188, Epoch=23, minibatch=3, loss=0.00095, Wa=1.2610, Wb=1.2333
updates=189, Epoch=23, minibatch=4, loss=0.00086, Wa=1.2610, Wb=1.2333
updates=190, Epoch=23, minibatch=5, loss=0.00087, Wa=1.2610, Wb=1.2333
updates=191, Epoch=23, minibatch=6, loss=0.00079, Wa=1.2611, Wb=1.2332
updates=192, Epoch=23, minibatch=7, loss=0.00099, Wa=1.2611, Wb=1.2332
updates=193, Epoch=24, minibatch=0, loss=0.00076, Wa=1.2611, Wb=1.2332
updates=194, Epoch=24, minibatch=1, loss=0.00084, Wa=1.2611, Wb=1.2332
updates=195, Epoch=24, minibatch=2, loss=0.00088, Wa=1.2611, Wb=1.2332
updates=196, Epoch=24, minibatch=3, loss=0.00098, Wa=1.2612, Wb=1.2331
updates=197, Epoch=24, minibatch=4, loss=0.00077, Wa=1.2612, Wb=1.2331
updates=198, Epoch=24, minibatch=5, loss=0.00083, Wa=1.2612, Wb=1.2331
updates=199, Epoch=24, minibatch=6, loss=0.00097, Wa=1.2611, Wb=1.2331
updates=200, Epoch=24, minibatch=7, loss=0.00101, Wa=1.2611, Wb=1.2331
updates=201, Epoch=25, minibatch=0, loss=0.00083, Wa=1.2611, Wb=1.2330
updates=202, Epoch=25, minibatch=1, loss=0.00095, Wa=1.2611, Wb=1.2330
updates=203, Epoch=25, minibatch=2, loss=0.00090, Wa=1.2612, Wb=1.2330
updates=204, Epoch=25, minibatch=3, loss=0.00087, Wa=1.2612, Wb=1.2330
updates=205, Epoch=25, minibatch=4, loss=0.00082, Wa=1.2612, Wb=1.2329
updates=206, Epoch=25, minibatch=5, loss=0.00088, Wa=1.2613, Wb=1.2329
updates=207, Epoch=25, minibatch=6, loss=0.00086, Wa=1.2613, Wb=1.2329
updates=208, Epoch=25, minibatch=7, loss=0.00094, Wa=1.2613, Wb=1.2329
updates=209, Epoch=26, minibatch=0, loss=0.00083, Wa=1.2613, Wb=1.2329
updates=210, Epoch=26, minibatch=1, loss=0.00082, Wa=1.2613, Wb=1.2329
updates=211, Epoch=26, minibatch=2, loss=0.00093, Wa=1.2612, Wb=1.2328
updates=212, Epoch=26, minibatch=3, loss=0.00080, Wa=1.2612, Wb=1.2328
updates=213, Epoch=26, minibatch=4, loss=0.00105, Wa=1.2611, Wb=1.2328
updates=214, Epoch=26, minibatch=5, loss=0.00088, Wa=1.2611, Wb=1.2328
updates=215, Epoch=26, minibatch=6, loss=0.00088, Wa=1.2611, Wb=1.2328
updates=216, Epoch=26, minibatch=7, loss=0.00086, Wa=1.2611, Wb=1.2327
updates=217, Epoch=27, minibatch=0, loss=0.00081, Wa=1.2611, Wb=1.2327
updates=218, Epoch=27, minibatch=1, loss=0.00098, Wa=1.2611, Wb=1.2327
updates=219, Epoch=27, minibatch=2, loss=0.00084, Wa=1.2611, Wb=1.2327
updates=220, Epoch=27, minibatch=3, loss=0.00075, Wa=1.2611, Wb=1.2327
updates=221, Epoch=27, minibatch=4, loss=0.00079, Wa=1.2611, Wb=1.2327
updates=222, Epoch=27, minibatch=5, loss=0.00102, Wa=1.2611, Wb=1.2327
updates=223, Epoch=27, minibatch=6, loss=0.00092, Wa=1.2611, Wb=1.2327
updates=224, Epoch=27, minibatch=7, loss=0.00093, Wa=1.2611, Wb=1.2327
updates=225, Epoch=28, minibatch=0, loss=0.00106, Wa=1.2611, Wb=1.2327
updates=226, Epoch=28, minibatch=1, loss=0.00080, Wa=1.2611, Wb=1.2327
updates=227, Epoch=28, minibatch=2, loss=0.00092, Wa=1.2611, Wb=1.2327
updates=228, Epoch=28, minibatch=3, loss=0.00071, Wa=1.2611, Wb=1.2327
updates=229, Epoch=28, minibatch=4, loss=0.00072, Wa=1.2612, Wb=1.2327
updates=230, Epoch=28, minibatch=5, loss=0.00082, Wa=1.2612, Wb=1.2327
updates=231, Epoch=28, minibatch=6, loss=0.00098, Wa=1.2612, Wb=1.2327
updates=232, Epoch=28, minibatch=7, loss=0.00103, Wa=1.2611, Wb=1.2327
updates=233, Epoch=29, minibatch=0, loss=0.00093, Wa=1.2611, Wb=1.2326
updates=234, Epoch=29, minibatch=1, loss=0.00093, Wa=1.2611, Wb=1.2326
updates=235, Epoch=29, minibatch=2, loss=0.00070, Wa=1.2611, Wb=1.2326
updates=236, Epoch=29, minibatch=3, loss=0.00084, Wa=1.2610, Wb=1.2326
updates=237, Epoch=29, minibatch=4, loss=0.00096, Wa=1.2610, Wb=1.2326
updates=238, Epoch=29, minibatch=5, loss=0.00084, Wa=1.2610, Wb=1.2326
updates=239, Epoch=29, minibatch=6, loss=0.00088, Wa=1.2609, Wb=1.2326
updates=240, Epoch=29, minibatch=7, loss=0.00098, Wa=1.2609, Wb=1.2326
updates=241, Epoch=30, minibatch=0, loss=0.00076, Wa=1.2609, Wb=1.2326
updates=242, Epoch=30, minibatch=1, loss=0.00085, Wa=1.2609, Wb=1.2326
updates=243, Epoch=30, minibatch=2, loss=0.00085, Wa=1.2609, Wb=1.2326
updates=244, Epoch=30, minibatch=3, loss=0.00099, Wa=1.2610, Wb=1.2326
updates=245, Epoch=30, minibatch=4, loss=0.00091, Wa=1.2610, Wb=1.2326
updates=246, Epoch=30, minibatch=5, loss=0.00078, Wa=1.2611, Wb=1.2326
updates=247, Epoch=30, minibatch=6, loss=0.00102, Wa=1.2612, Wb=1.2326
updates=248, Epoch=30, minibatch=7, loss=0.00090, Wa=1.2612, Wb=1.2326
updates=249, Epoch=31, minibatch=0, loss=0.00098, Wa=1.2612, Wb=1.2326
updates=250, Epoch=31, minibatch=1, loss=0.00079, Wa=1.2612, Wb=1.2326
updates=251, Epoch=31, minibatch=2, loss=0.00068, Wa=1.2612, Wb=1.2326
updates=252, Epoch=31, minibatch=3, loss=0.00099, Wa=1.2612, Wb=1.2326
updates=253, Epoch=31, minibatch=4, loss=0.00079, Wa=1.2613, Wb=1.2326
updates=254, Epoch=31, minibatch=5, loss=0.00095, Wa=1.2613, Wb=1.2326
updates=255, Epoch=31, minibatch=6, loss=0.00089, Wa=1.2612, Wb=1.2326
updates=256, Epoch=31, minibatch=7, loss=0.00096, Wa=1.2612, Wb=1.2326
updates=257, Epoch=32, minibatch=0, loss=0.00089, Wa=1.2612, Wb=1.2326
updates=258, Epoch=32, minibatch=1, loss=0.00092, Wa=1.2612, Wb=1.2326
updates=259, Epoch=32, minibatch=2, loss=0.00090, Wa=1.2612, Wb=1.2326
updates=260, Epoch=32, minibatch=3, loss=0.00077, Wa=1.2611, Wb=1.2325
updates=261, Epoch=32, minibatch=4, loss=0.00077, Wa=1.2611, Wb=1.2325
updates=262, Epoch=32, minibatch=5, loss=0.00087, Wa=1.2610, Wb=1.2325
updates=263, Epoch=32, minibatch=6, loss=0.00089, Wa=1.2610, Wb=1.2325
updates=264, Epoch=32, minibatch=7, loss=0.00102, Wa=1.2610, Wb=1.2325
updates=265, Epoch=33, minibatch=0, loss=0.00106, Wa=1.2610, Wb=1.2325
updates=266, Epoch=33, minibatch=1, loss=0.00093, Wa=1.2610, Wb=1.2325
updates=267, Epoch=33, minibatch=2, loss=0.00095, Wa=1.2609, Wb=1.2325
updates=268, Epoch=33, minibatch=3, loss=0.00072, Wa=1.2609, Wb=1.2325
updates=269, Epoch=33, minibatch=4, loss=0.00078, Wa=1.2609, Wb=1.2324
updates=270, Epoch=33, minibatch=5, loss=0.00077, Wa=1.2608, Wb=1.2324
updates=271, Epoch=33, minibatch=6, loss=0.00093, Wa=1.2608, Wb=1.2324
updates=272, Epoch=33, minibatch=7, loss=0.00090, Wa=1.2609, Wb=1.2324
updates=273, Epoch=34, minibatch=0, loss=0.00077, Wa=1.2609, Wb=1.2324
updates=274, Epoch=34, minibatch=1, loss=0.00094, Wa=1.2610, Wb=1.2324
updates=275, Epoch=34, minibatch=2, loss=0.00105, Wa=1.2610, Wb=1.2324
updates=276, Epoch=34, minibatch=3, loss=0.00093, Wa=1.2610, Wb=1.2324
updates=277, Epoch=34, minibatch=4, loss=0.00080, Wa=1.2611, Wb=1.2324
updates=278, Epoch=34, minibatch=5, loss=0.00073, Wa=1.2611, Wb=1.2324
updates=279, Epoch=34, minibatch=6, loss=0.00090, Wa=1.2611, Wb=1.2324
updates=280, Epoch=34, minibatch=7, loss=0.00092, Wa=1.2611, Wb=1.2324
updates=281, Epoch=35, minibatch=0, loss=0.00077, Wa=1.2612, Wb=1.2324
updates=282, Epoch=35, minibatch=1, loss=0.00096, Wa=1.2612, Wb=1.2324
updates=283, Epoch=35, minibatch=2, loss=0.00093, Wa=1.2612, Wb=1.2324
updates=284, Epoch=35, minibatch=3, loss=0.00098, Wa=1.2612, Wb=1.2324
updates=285, Epoch=35, minibatch=4, loss=0.00091, Wa=1.2613, Wb=1.2324
updates=286, Epoch=35, minibatch=5, loss=0.00100, Wa=1.2613, Wb=1.2324
updates=287, Epoch=35, minibatch=6, loss=0.00072, Wa=1.2613, Wb=1.2324
updates=288, Epoch=35, minibatch=7, loss=0.00076, Wa=1.2613, Wb=1.2324
updates=289, Epoch=36, minibatch=0, loss=0.00093, Wa=1.2613, Wb=1.2324
updates=290, Epoch=36, minibatch=1, loss=0.00100, Wa=1.2613, Wb=1.2324
updates=291, Epoch=36, minibatch=2, loss=0.00077, Wa=1.2613, Wb=1.2324
updates=292, Epoch=36, minibatch=3, loss=0.00099, Wa=1.2613, Wb=1.2324
updates=293, Epoch=36, minibatch=4, loss=0.00081, Wa=1.2613, Wb=1.2324
updates=294, Epoch=36, minibatch=5, loss=0.00078, Wa=1.2612, Wb=1.2324
updates=295, Epoch=36, minibatch=6, loss=0.00084, Wa=1.2612, Wb=1.2324
updates=296, Epoch=36, minibatch=7, loss=0.00092, Wa=1.2612, Wb=1.2324
updates=297, Epoch=37, minibatch=0, loss=0.00078, Wa=1.2612, Wb=1.2324
updates=298, Epoch=37, minibatch=1, loss=0.00075, Wa=1.2612, Wb=1.2324
updates=299, Epoch=37, minibatch=2, loss=0.00079, Wa=1.2612, Wb=1.2325
updates=300, Epoch=37, minibatch=3, loss=0.00083, Wa=1.2613, Wb=1.2325
updates=301, Epoch=37, minibatch=4, loss=0.00086, Wa=1.2613, Wb=1.2325
updates=302, Epoch=37, minibatch=5, loss=0.00092, Wa=1.2612, Wb=1.2325
updates=303, Epoch=37, minibatch=6, loss=0.00109, Wa=1.2612, Wb=1.2325
updates=304, Epoch=37, minibatch=7, loss=0.00102, Wa=1.2612, Wb=1.2325
updates=305, Epoch=38, minibatch=0, loss=0.00082, Wa=1.2612, Wb=1.2325
updates=306, Epoch=38, minibatch=1, loss=0.00091, Wa=1.2612, Wb=1.2325
